ID,Tiêu đề,Trạng thái,Lượt xem,Lượt gửi,Lượt click,Ngày tạo
d97c1b621f27f679af36,Hhhhhhhhhhhhhhhhhhh,Thành công,5179,5221,144,25/11/2025 02:18 PM
6e8062bf66fa8fa4d6eb,BẬT VIBE CHILL – TRI ÂN “THẦY IU” MỪNG 20/11,Thành công,28298,28474,119,19/11/2025 12:31 PM
10ded257d6123f4c6603,HÒA VÀO ĐÊM HALLOWEEN BUNG NÓC,Thành công,28117,28262,204,28/10/2025 11:57 AM
f27882b986fc6fa236ed,KHUẤY ĐẢO CÙNG HỘI CHỊ EM VỚI HER-ICANE NIGHT,Thành công,14209,14272,89,17/10/2025 11:57 AM
24882c9f27dace8497cb,DZÔKTOBERFEST - Enjoy Oktoberfest kiểu Việt,Thành công,28087,28223,263,09/10/2025 11:54 AM
ebcee2fce9b900e759a8,VẼ ĐÈN XINH XINH – TRUNG THU BLINK BLINK,Thành công,28680,28809,221,02/10/2025 12:05 PM
edce77527c179549cc06,CUỐI TUẦN XẢ STRESS CÙNG SIPPIN’ SUNDAY,Thành công,27957,28097,167,12/09/2025 12:11 PM
b4146dae66eb8fb5d6fa,CHAY O’CLOCK – NHẬU CHAY VẪN CHÁYYY 🌱🍻,Thành công,27971,28098,327,05/09/2025 12:02 PM
ef1d7cd177949ecac785,TỰ HÀO HƯỞNG VỊ TỰ DO – MỪNG ĐẠI LỄ 2/9 TẠI BA GÁC,Thành công,28017,28148,326,28/08/2025 12:28 PM
75bfc8b3c2f62ba872e7,Không thể bỏ lỡ SUMMÊ-LY SPRITZ,Thành công,25114,25230,75,16/08/2025 10:51 AM
484b67796d3c8462dd2d,🍻 Khám phá hương vị Bỉ cùng Belgo Tap Takeover,Thành công,28019,28158,155,14/08/2025 11:24 AM
9fd1d597dfd2368c6fc3,🍻Thưởng thức vị mùa hè mê ly cùng TAP TAKEOVER,Thành công,28030,28165,184,05/08/2025 10:45 PM
155f8bc1818468da3195,HỘI CẠ CỨNG ĐỪNG BỎ LỠ “BESTIE NIGHT” TỐI THỨ BẢYYY,Thành công,24806,25218,204,25/07/2025 11:57 AM
3f79f1d1fb9412ca4b85,ĐỪNG BỎ LỠ LADIES NIGHT TỐI THỨ SÁUUU,Thành công,12779,12885,135,16/07/2025 11:10 AM
d5556eb464f18dafd4e0,CHẤN ĐỘNG VỚI DEAL $1 MỖI NGÀY TẠI TẤT CẢ CHI NHÁNH!!!,Thành công,28209,28555,489,04/07/2025 06:52 PM
5b0add05d4403d1e6451,🧡CHÚC MỪNG NGÀY GIA ĐÌNH VIỆT NAM 28/06,Thành công,28158,28542,264,27/06/2025 12:05 PM
db077b2e726b9b35c27a,✈️ LÊN NÓC CUỐI TUẦN TẠI BA GÁC NAM KỲ KHỞI NGHĨA - ROOFTOP,Thành công,28655,29071,262,20/06/2025 11:51 AM
b1d85fa756e2bfbce6f3,"GÁC DEADLINE, QUẪY HẾT MÌNH TỐI THỨ 6!",Thành công,27656,27869,270,11/06/2025 10:58 AM
d045eccae58f0cd1559e,BẠN BAO NHIÊU TUỔI TẶNG “BUD” NHIÊU CHAI,Thành công,24731,24969,572,02/06/2025 11:48 AM
9c52aafca3b94ae713a8,🌱 “SẠCH-SÀNH-XANH” - Thực đơn mùa hè chính thức ra mắt từ ngày 𝟐𝟔/𝟎𝟓,Thành công,28238,28435,380,26/05/2025 04:01 PM
06f796f79eb277ec2ea3,TẶNG CÔM-BỒ CHO NHÓM THÊM XÔMMM,Thành công,27991,28225,438,09/05/2025 10:13 AM
fd3cbbacb3e95ab703f8,TIỆC SINH NHẬT VUI “TỚI NÓC”,Thành công,11710,11793,149,16/04/2025 10:58 AM
102fe38febca02945bdb,"MỪNG LỄ GIỖ TỔ CÙNG “CON RỒNG, CHÁU TIÊN”",Thành công,27326,27763,301,06/04/2025 01:08 PM
2e7aa982a1c7489911d6,VẠCH LÁ TÌM “ĐÔ”,Thành công,24174,24365,207,27/03/2025 02:58 PM
1e502c522317ca499306,CHILL MỘT ĐƯỢC HIGH - Chi 1 Được 2!!!🔥,Thành công,27439,27650,278,19/03/2025 05:53 PM
b847ad6fa22a4b74123b,"CÀNG ĐÔNG CÀNG 𝗖𝗛𝗜𝗟𝗟, SIU NHÌU ƯU ĐÃI",Thành công,27483,27696,323,12/03/2025 06:26 PM
1efd00d50f90e6cebf81,"CÀNG ĐÔNG CÀNG 𝗖𝗛𝗜𝗟𝗟, SIU NHÌU ƯU ĐÃI",Không gửi được,0,0,0,12/03/2025 06:15 PM
49a541f94ebca7e2fead,CHILL MỘT ĐƯỢC HIGH - Chi 1 Được 2!!!🔥,Thành công,26763,27185,257,10/03/2025 05:41 PM
922776e679a390fdc9b2,"14/2 ĐẾN BA GÁC ÔM MỤT CÁI, HỜI NHÌU CÁIII",Thành công,3155,3185,35,12/02/2025 01:56 PM
8b87a765a820417e1831,“NHẠO” CHILL GIÁ MỀM VỚI MENU XU-ÂN-MAZING,Thành công,27269,27736,394,05/02/2025 12:01 PM
61c7cbaed0eb39b560fa,"𝐁𝐀̣𝐍 𝐁𝐀𝐎 𝐍𝐇𝐈𝐄̂𝐔 𝐓𝐔𝐎̂̉𝐈 𝐓𝐀̣̆𝐍𝐆 𝐁𝐀̂́𝐘 𝐍𝐇𝐈𝐄̂𝐔 𝐁𝐈𝐀🍻<br/>𝐌𝐔̛̀𝐍𝐆 𝐒𝐈𝐍𝐇 𝐍𝐇𝐀̣̂𝐓 𝐂𝐀́𝐂 𝐁𝐈𝐀 𝐓𝐇𝐔̉ 𝐓𝐇𝐀́𝐍𝐆 8️⃣",Thành công,15871,16031,735,02/08/2023 02:31 PM
74be343d2f78c6269f69,𝐕𝐀̀𝐎 𝟑 𝐑𝐀 𝟕 - 𝐓𝐈𝐄̣̂𝐂 𝐓𝐑𝐈 𝐀̂𝐍 𝐊𝐇𝐀́𝐂𝐇 𝐇𝐀̀𝐍𝐆 𝐁𝐀 𝐆𝐀́𝐂 𝐒𝐎𝐍𝐆 𝐇𝐀̀𝐍𝐇 🍻🍻,Thành công,15822,15968,515,27/07/2023 06:37 PM
bc02d49cced927877ec8,ĐÊM TIỆC MỪNG SINH NHẬT BA GÁC BÀU CÁT TRÒN 5 TUỔI,Thành công,14067,14108,451,12/06/2023 10:16 PM
16355a9140d4a98af0c5,UỐNG BIA CORONA THẢ GA CHỈ VỚI 149K,Thành công,13821,13927,669,05/06/2023 04:59 PM
181c19d10394eacab385,"CHỚP NGAY ƯU ĐÃI, NGẠI CHI LAI RAI CẢ TUẦN",Thành công,13463,13663,431,29/05/2023 02:38 PM
908cc192d8d7318968c6,RỘN RÀNG ĐÓN HÈ - SĂN ƯU ĐÃI VÀNG,Thành công,13393,13601,500,19/05/2023 11:40 AM
02c960ec79a990f7c9b8,𝗚𝗜𝗔 Đ𝗜̀𝗡𝗛 𝗕𝗨̛̣ - 𝗨̛𝗨 Đ𝗔̃𝗜 𝗧𝗢,Thành công,13350,13587,377,12/05/2023 03:01 PM
d628074f1e0af754ae1b,MỪNG ĐẠI LỄ - ĐÓN CƠN MƯA QUÀ TẶNG TẠI TUẦN LỄ VIỆT NAM CHỈ CÓ TẠI BA GÁC 🎉🎉,Thành công,13239,13448,248,28/04/2023 03:22 PM
2faf5d38447dad23f46c,💥 MỒI MỚI ĐỔ BỘ - SET KÈO CHIẾN CÙNG NEW MENU 💥,Thành công,13270,13468,388,26/04/2023 04:49 PM
ba32b5b5adf044ae1de1,🌹🌹🌹HAPPY WOMEN’S DAY 🌹🌹🌹,Thành công,12655,13167,652,07/03/2023 01:33 PM
2233719652d3bb8de2c2,COCKTAIL XỊN SÒ ĐÃ CÓ MẶT TẠI BA GÁC!!!!,Thành công,8186,8531,207,03/06/2022 11:03 AM
1ed6ca7ee93b0065592a,CÓ HAPPY HOUR - KHUNG GIỜ VÀNG NGẬP TRÀN ƯU ĐÃI,Thành công,8172,8522,176,01/06/2022 01:35 PM
bd8a539d71d89886c1c9,TỤ HỌP CỰC HIGH CÙNG BA GÁC NIGHT,Thành công,8063,8419,146,20/05/2022 09:20 AM
5a52a8498a0c63523a1d,LĂN THEO BÓNG CÙNG BA GÁC NƯỚNG VÀ BIA,Thành công,8082,8428,162,18/05/2022 10:13 AM
